Part Number,FMC Eval,Zed,H1,Pmod,Zed,Cora,SDP,SDP Carrier,SDP Software
`AD7942: 14-Bit 250 kSPS PulSAR Pseudo Differential ADC  <https://www.analog.com/ad7942>`__ ,,,,`eval-ad7942-pmdz <https://www.analog.com/eval-ad7942-pmdz>`__,,,`eval-ad7942 <https://www.analog.com/eval-ad7942>`__ ,"SDP-B, H1",`10_lead_software_v1.7.zip <https://www.analog.com/media/en/evaluation-boards-kits/evaluation-software/10_lead_software_v1.7.zip>`__ 
`AD7946: 14-Bit 500 kSPS PulSAR ADC  <https://www.analog.com/ad7946>`__ ,,,,,,,,,
`AD7988-1: 16-Bit Lower Power PulSAR ADCs  <https://www.analog.com/ad7988-1>`__ ,,,,,,,,,
`AD7685: 16-Bit 250 kSPS PulSAR ADC <https://www.analog.com/ad7685>`__ ,,,,,,,,,
`AD7687: 16-Bit 1.5 LSB INL 250 kSPS PulSAR Differential ADC <https://www.analog.com/ad7687>`__ ,,,,,,,,,
`AD7691: 18-Bit 1.5 LSB INL 250 kSPS PulSAR Differential ADC <https://www.analog.com/ad7691>`__ ,,,,,,,,,
`AD7686: 500 kSPS 16-BIT PulSAR A/D Converter <https://www.analog.com/ad7686>`__ ,,,,,,,,,
`AD7688: 500 kSPS 16- BIT Differential PulSAR A/D Converter in µSOIC/QFN <https://www.analog.com/ad7688>`__ ,,,,,,,,,
`AD7693: 16-Bit ±0.5 LSB 500 kSPS PulSAR Differential A/D Converter <https://www.analog.com/ad7693>`__ ,,,,,,,,,
`AD7988-5: 16-Bit Lower Power PulSAR ADCs  <https://www.analog.com/ad7988-5>`__ ,,,,,,,,,
`AD7980: 16-Bit 1 MSPS PulSAR ADC  <https://www.analog.com/ad7980>`__ ,,,,`eval-ad7980-pmdz <https://www.analog.com/eval-ad7980-pmdz>`__ ,,,`eval-ad7980 <https://www.analog.com/eval-ad7980>`__ ,,`10_lead_software_v1.7.zip <https://www.analog.com/media/en/evaluation-boards-kits/evaluation-software/10_lead_software_v1.7.zip>`__ 
`AD7983: 16-Bit 1.33 MSPS PulSAR ADC <https://www.analog.com/ad7983>`__ ,,,,,,,,,
`AD7690: 18-Bit 1.5 LSB INL 400 kSPS PulSAR Differential ADC <https://www.analog.com/ad7690>`__ ,,,,,,,,,
`AD7689: 16-Bit 8-Channel 250 kSPS PulSAR ADC <https://www.analog.com/ad7689>`__ ,,,,,,,,,
`AD4000: 16-Bit 2 MSPS/1 MSPS/500 kSPS Precision Pseudo Differential <https://www.analog.com/ad4000>`__ ,`eval-ad400x-fmcz (00) <https://www.analog.com/eval-ad400x-fmcz>`__ ,,X,,,,,,
`AD4001: 16-Bit 2 MSPS/1 MSPS Precision Differential <https://www.analog.com/ad4001>`__ ,`eval-ad400x-fmcz (01) <https://www.analog.com/eval-ad400x-fmcz>`__ ,,X,,,,,,
`AD4002: 18-Bit 2 MSPS/1 MSPS/500 kSPS Precision Pseudo Differential <https://www.analog.com/ad4002>`__ ,`eval-ad400x-fmcz (02) <https://www.analog.com/eval-ad400x-fmcz>`__ ,,X,,,,,,
`AD4003: 18-Bit 2 MSPS/1 MSPS/500 kSPS Easy Drive Differential <https://www.analog.com/ad4003>`__ ,`eval-ad400x-fmcz (03) <https://www.analog.com/eval-ad400x-fmcz>`__ ,,X,,,,,,
`AD4004: 16-Bit 2 MSPS/1 MSPS/500 kSPS Precision Pseudo Differential <https://www.analog.com/ad4004>`__ ,,,,,,,,,
`AD4005: 16-Bit 2 MSPS/1 MSPS Precision Differential <https://www.analog.com/ad4005>`__ ,,,,,,,,,
`AD4006: 18-Bit 2 MSPS/1 MSPS/500 kSPS Precision Pseudo Differential <https://www.analog.com/ad4006>`__ ,,,,,,,,,
`AD4007: 18-Bit 2 MSPS/1 MSPS/500 kSPS Easy Drive Differential <https://www.analog.com/ad4007>`__ ,,,,,,,,,
`AD4008: 16-Bit 2 MSPS/1 MSPS/500 kSPS Precision Pseudo Differential <https://www.analog.com/ad4008>`__ ,,,,,,,,,
`AD4010: 18-Bit 2 MSPS/1 MSPS/500 kSPS Precision Pseudo Differential <https://www.analog.com/ad4010>`__ ,,,,,,,,,
`AD4011: 18-Bit 2 MSPS/1 MSPS/500 kSPS Easy Drive Differential <https://www.analog.com/ad4011>`__ ,,,,,,,,,
`ADAQ4003: 18-Bit 2 MSPS Precision DAQ Differential <https://www.analog.com/adaq4003>`__ ,,,,,,,,,
`AD4020: 20-Bit 1.8 MSPS/1 MSPS/500 kSPS Easy Drive Differential <https://www.analog.com/ad4020>`__ ,,,,,,,,,
